year_quarter,race_count,gender_count,religion_count,sexuality_count,class_count,total_count
1979-Q1,0,0,0,0,0,0
1979-Q2,0,0,0,0,0,0
1979-Q3,0,0,0,0,0,0
1979-Q4,0,0,0,0,0,0
1980-Q1,0,0,0,0,0,0
1980-Q2,0,0,0,0,0,0
1980-Q3,0,0,0,0,0,0
1980-Q4,0,0,0,0,0,0
1981-Q1,0,0,0,0,0,0
1981-Q2,0,0,0,0,0,0
1981-Q3,0,0,0,0,0,0
1981-Q4,0,0,0,0,0,0
1982-Q1,0,0,0,0,0,0
1982-Q2,0,0,0,0,0,0
1982-Q3,0,0,0,0,0,0
1982-Q4,0,0,0,0,0,0
1983-Q1,0,0,0,0,0,0
1983-Q2,0,0,0,0,0,0
1983-Q3,0,0,0,0,0,0
1983-Q4,0,0,0,0,0,0
1984-Q1,0,0,0,0,0,0
1984-Q2,0,0,0,0,0,0
1984-Q3,0,0,0,0,0,0
1984-Q4,0,0,0,0,0,0
1985-Q1,0,0,0,0,0,0
1985-Q2,0,0,0,0,0,0
1985-Q3,0,0,0,0,0,0
1985-Q4,0,0,0,0,0,0
1986-Q1,0,0,0,0,0,0
1986-Q2,0,0,0,0,0,0
1986-Q3,0,0,0,0,0,0
1986-Q4,0,0,0,0,0,0
1987-Q1,0,0,0,0,0,0
1987-Q2,0,0,0,0,0,0
1987-Q3,0,0,0,0,0,0
1987-Q4,0,0,0,0,0,0
1988-Q1,0,0,0,0,0,0
1988-Q2,0,0,0,0,0,0
1988-Q3,0,0,0,0,0,0
1988-Q4,0,0,0,0,0,0
1989-Q1,0,0,0,0,0,0
1989-Q2,0,0,0,0,0,0
1989-Q3,0,0,0,0,0,0
1989-Q4,0,0,0,0,0,0
1990-Q1,0,0,0,0,0,0
1990-Q2,0,0,0,0,0,0
1990-Q3,0,0,0,0,0,0
1990-Q4,0,0,0,0,0,0
1991-Q1,0,0,0,0,0,0
1991-Q2,0,0,0,0,0,0
1991-Q3,0,0,0,0,0,0
1991-Q4,0,0,0,0,0,0
1992-Q1,0,0,0,0,0,0
1992-Q2,0,0,0,0,0,0
1992-Q3,0,0,0,0,0,0
1992-Q4,0,0,0,0,0,0
1993-Q1,0,0,0,0,0,0
1993-Q2,0,0,0,0,0,0
1993-Q3,0,0,0,0,0,0
1993-Q4,0,0,0,0,0,0
1994-Q1,0,0,0,0,0,0
1994-Q2,0,0,0,0,0,0
1994-Q3,0,0,0,0,0,0
1994-Q4,0,0,0,0,0,0
1995-Q1,0,0,0,0,0,0
1995-Q2,0,0,0,0,0,0
1995-Q3,0,0,0,0,0,0
1995-Q4,0,0,0,0,0,0
1996-Q1,0,0,0,0,0,0
1996-Q2,0,0,0,0,0,0
1996-Q3,0,0,0,0,0,0
1996-Q4,0,0,0,0,0,0
1997-Q1,0,0,0,0,0,0
1997-Q2,0,0,0,0,0,0
1997-Q3,0,0,0,0,0,0
1997-Q4,0,0,0,0,0,0
1998-Q1,0,0,0,0,0,0
1998-Q2,0,0,0,0,0,0
1998-Q3,0,0,0,0,0,0
1998-Q4,0,0,0,0,0,0
1999-Q1,0,0,0,0,0,0
1999-Q2,0,0,0,0,0,0
1999-Q3,0,0,0,0,0,0
1999-Q4,0,0,0,0,0,0
2000-Q1,0,0,0,0,0,0
2000-Q2,0,0,0,0,0,0
2000-Q3,0,0,0,0,0,0
2000-Q4,0,0,0,0,0,0
2001-Q1,0,0,0,0,0,0
2001-Q2,0,0,0,0,0,0
2001-Q3,0,0,0,0,0,0
2001-Q4,0,0,0,0,0,0
2002-Q1,0,0,0,0,0,0
2002-Q2,0,0,0,0,0,0
2002-Q3,0,0,0,0,0,0
2002-Q4,0,0,0,0,0,0
2003-Q1,0,0,0,0,0,0
2003-Q2,0,0,0,0,0,0
2003-Q3,0,0,0,0,0,0
2003-Q4,0,-1,-1,-1,-1,0
2004-Q1,-1,-1,-1,-1,-1,0
2004-Q2,-1,-1,-1,-1,-1,0
2004-Q3,-1,-1,-1,-1,-1,0
2004-Q4,-1,-1,-1,-1,-1,0
2005-Q1,-1,-1,-1,-1,-1,0
2005-Q2,-1,-1,-1,-1,-1,0
2005-Q3,-1,-1,-1,-1,-1,0
2005-Q4,-1,-1,-1,-1,-1,0
2006-Q1,-1,-1,-1,-1,-1,0
2006-Q2,-1,-1,-1,-1,-1,0
2006-Q3,-1,-1,-1,-1,-1,0
2006-Q4,-1,-1,-1,-1,-1,0
2007-Q1,-1,-1,-1,-1,-1,0
2007-Q2,-1,-1,-1,-1,-1,0
2007-Q3,-1,-1,-1,-1,-1,0
2007-Q4,-1,-1,-1,-1,-1,0
